"dool 1.3.0 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","x3003c0s1b0n0",,,,"User:","yuke"
"Cmdline:","/home/yuke/bin/dool --time --mem --cpu --net -N hsn0,hsn1,lo,total --output /home/yuke/lyd/logs/dool-gpt2-worldsize16-mbs12-noderank3-gbs-192.csv 1",,,,"Date:","01 Nov 2023 01:01:55 UTC"
"system","memory usage",,,,"total cpu usage",,,,,"net/hsn0",,"net/hsn1",,"net/lo",,"net/total",
"time","used","free","cach","avai","usr","sys","idl","wai","stl","net/hsn0:recv","net/hsn0:send","net/hsn1:recv","net/hsn1:send","net/lo:recv","net/lo:send","net/total:recv","net/total:send"
Nov-01 01:01:55,29392703488,254391246848,254735269888,507794669568,2.140,2.403,95.426,0.031,0,0,0,0,0,0,0,0,0
Nov-01 01:01:56,29391798272,254169051136,254957711360,507795820544,0.078,0.501,99.421,0,0,149760,3664,149280,480,0,0,304320,4744
Nov-01 01:01:57,29436063744,253569609728,255511592960,507751813120,0.219,1.282,98.483,0.016,0,134400,0,134400,0,0,0,275520,336
Nov-01 01:01:58,29477277696,253333663744,255705858048,507710197760,0.517,0.626,98.857,0,0,81600,0,81600,0,0,0,172656,0
Nov-01 01:01:59,29507723264,253205671936,255802613760,507679920128,0.313,0.579,99.108,0,0,92640,480,92640,480,0,0,190208,960
Nov-01 01:02:00,29529247744,253164347392,255821455360,507658391552,0.517,0.517,98.967,0,0,201120,480,203920,480,151448,151448,633080,106272
Nov-01 01:02:01,29564690432,253110370304,255839264768,507623202816,0.595,0.532,98.873,0,0,204960,480,204960,480,0,0,418232,1560
Nov-01 01:02:02,29803429888,252835835904,255874719744,507384459264,1.201,0.624,98.175,0,0,210632,43608,181440,0,0,0,395912,43608
Nov-01 01:02:03,30037196800,252602068992,255874719744,507150692352,1.593,0.203,98.204,0,0,85440,0,85440,0,0,0,177120,0
Nov-01 01:02:04,30139543552,252499628032,255874715648,507048353792,1.972,0.683,97.345,0,0,97440,480,97440,480,0,0,230640,63536
Nov-01 01:02:05,30227038208,252412121088,255874711552,506960863232,2.389,0.714,96.897,0,0,145360,480,142560,480,151568,151568,291280,16368
Nov-01 01:02:06,30302339072,252336820224,255874711552,506885562368,2.194,0.644,97.161,0,0,141600,480,141600,480,0,0,288960,1560
Nov-01 01:02:07,30386307072,252248551424,255878807552,506801594368,1.583,0.470,97.947,0,0,130560,0,130560,0,0,0,264960,0
Nov-01 01:02:08,30443708416,252188708864,255880777728,506744193024,1.399,0.330,98.256,0.016,0,84480,0,84480,0,0,0,173280,0
Nov-01 01:02:09,30630023168,251961483264,255921061888,506557112320,0.581,1.036,98.258,0.126,0,93600,31488,91680,480,0,0,9031024,59120
Nov-01 01:02:10,30808748032,251774337024,255929192448,506379161600,0.908,0.673,98.340,0.078,0,467408,632072,136464,2352,151648,151648,611408,649832
Nov-01 01:02:11,31401140224,251105456128,256005517312,505744826368,0.204,0.674,99.091,0.031,0,774336,950424,162384,480,0,0,941520,951504
Nov-01 01:02:12,32318255104,250188337152,256005521408,504827711488,0.812,0.906,98.283,0,0,162864,0,162864,0,0,0,333408,0
Nov-01 01:02:13,33630502912,248876089344,256005521408,503515463680,0.938,0.657,98.406,0,0,128304,0,128304,0,0,0,264288,0
Nov-01 01:02:14,34745749504,247760838656,256005525504,502400217088,0.844,0.469,98.687,0,0,120000,5408,118080,0,0,0,242400,5408
Nov-01 01:02:15,35240751104,247235174400,256036089856,501896794112,1.329,0.735,97.920,0.016,0,156992,22560,139200,0,151424,151424,326768,93744
Nov-01 01:02:16,35241644032,247234252800,256036118528,501895872512,1.342,0.671,97.986,0,0,159856,29328,121920,0,85376,85376,312976,117208
Nov-01 01:02:17,35239727104,247236169728,256036118528,501897789440,1.186,0.562,98.252,0,0,140048,12672,124800,0,118784,118784,271424,12672
Nov-01 01:02:18,35280621568,247195226112,256036118528,501856894976,1.030,0.702,98.268,0,0,120072,21976,96880,0,33120,33120,222232,21976
Nov-01 01:02:19,35300241408,247171518464,256040230912,501833162752,1.201,0.655,98.144,0,0,231504,118816,120960,0,468832,468832,363216,119920
Nov-01 01:02:20,35300802560,247166767104,256044429312,501828403200,1.061,0.733,98.206,0,0,197616,12480,175200,480,262920,262920,376656,28600
Nov-01 01:02:21,35302686720,247087312896,256121573376,501749379072,1.323,0.716,97.962,0,0,223872,55776,183840,480,1442736,1442736,413472,56856
Nov-01 01:02:22,35288522752,247101472768,256121577472,501763547136,1.155,0.640,98.206,0,0,158448,480,153600,0,135936,135936,320064,480
Nov-01 01:02:23,35288543232,247097253888,256125775872,501759328256,1.125,0.484,98.391,0,0,89760,480,89760,480,89904,89904,185280,960
Nov-01 01:02:24,35289628672,247096168448,256125775872,501758242816,1.286,0.434,98.280,0,0,90736,7072,86400,0,91984,91984,181312,7072
Nov-01 01:02:25,35291258880,247070482432,256149266432,501733130240,1.292,0.311,98.396,0,0,160240,14160,142080,0,541096,541096,305200,29800
Nov-01 01:02:26,35292368896,247030657024,256187834368,501693452288,1.436,0.316,98.249,0,0,192976,34896,154560,0,701440,701440,348976,35496
Nov-01 01:02:27,35312324608,246828429312,256369672192,501491666944,0.920,0.858,98.222,0,0,147120,19120,132480,0,366016,366016,283440,19120
Nov-01 01:02:28,35311292416,246814232576,256384679936,501492699136,0.484,1.170,98.330,0.016,0,102720,960,102240,480,0,0,211536,1440
Nov-01 01:02:29,35311312896,246813036544,256385822720,501492678656,0.063,0.078,99.859,0,0,85920,480,85920,480,0,0,181568,1392
Nov-01 01:02:30,35310608384,246813736960,256385826816,501493383168,0.125,0.109,99.766,0,0,137760,480,137760,480,150816,150816,283056,16600
Nov-01 01:02:31,35319451648,246801440768,256389279744,501484539904,0.406,0.687,98.892,0.016,0,141120,0,141120,0,0,0,287040,600
