"dool 1.3.0 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","x3006c0s31b1n0",,,,"User:","yuke"
"Cmdline:","/home/yuke/bin/dool --time --mem --cpu --net -N hsn0,hsn1,lo,total --output /home/yuke/lyd/tmp-file/logs/dool-gpt2larg-worldsize20-mbs60-noderank0-gbs120-DP2-TP1-PP10.csv 1",,,,"Date:","04 Nov 2023 03:44:55 UTC"
"system","memory usage",,,,"total cpu usage",,,,,"net/hsn0",,"net/hsn1",,"net/lo",,"net/total",
"time","used","free","cach","avai","usr","sys","idl","wai","stl","net/hsn0:recv","net/hsn0:send","net/hsn1:recv","net/hsn1:send","net/lo:recv","net/lo:send","net/total:recv","net/total:send"
Nov-04 03:44:55,8389984256,526806188032,4634112000,527378018304,9.966,4.164,85.865,0.005,0,0,0,0,0,0,0,0,0
Nov-04 03:44:56,8381673472,526643306496,4804354048,527385870336,0.094,0.501,99.389,0.016,0,20448,2848,13440,1888,10200,10200,35808,4736
Nov-04 03:44:57,8453935104,526220988416,5152600064,527313108992,0.313,1.189,98.498,0,0,16864,0,14064,0,0,0,32848,608
Nov-04 03:44:58,8531156992,525871386624,5423833088,527234949120,0.469,0.641,98.891,0,0,12144,0,12144,0,0,0,29904,0
Nov-04 03:44:59,8565071872,525726609408,5534023680,527200727040,0.439,0.565,98.996,0,0,3984,0,6784,0,0,0,17968,432
Nov-04 03:45:00,8581459968,525698285568,5545091072,527184273408,0.595,0.658,98.747,0,0,4800,0,5424,0,151232,151232,20976,15464
Nov-04 03:45:01,8610574336,525647982592,5565210624,527154122752,0.360,0.501,99.138,0,0,4320,0,4320,0,0,0,13920,432
Nov-04 03:45:02,8632623104,525579280384,5611171840,527132168192,0.798,0.673,98.529,0,0,28848,7712,3360,0,14816,14816,45168,37208
Nov-04 03:45:03,8824299520,525387272192,5611196416,526940422144,0.610,0.563,98.827,0,0,163504,115648,1920,0,282696,282696,172480,115648
Nov-04 03:45:04,9095950336,525115244544,5611483136,526668726272,1.700,0.140,98.160,0,0,3840,4528,2880,0,0,0,11040,4528
Nov-04 03:45:05,9205923840,525005271040,5611483136,526558752768,1.190,1.065,97.744,0,0,6240,0,6240,0,151336,151336,31680,40064
Nov-04 03:45:06,9263357952,524947623936,5611548672,526501183488,1.191,1.003,97.806,0,0,5760,0,5760,0,0,0,51840,119424
Nov-04 03:45:07,9342730240,524868255744,5611544576,526421811200,1.049,0.673,98.279,0,0,5280,0,5280,0,0,0,14400,608
Nov-04 03:45:08,9431269376,524776636416,5614624768,526332772352,1.189,0.548,98.247,0.016,0,3360,0,3360,0,0,0,11856,0
Nov-04 03:45:09,9502449664,524703920128,5615849472,526261936128,1.548,0.297,98.155,0,0,3840,0,3840,0,0,0,14256,0
Nov-04 03:45:10,9688248320,524513873920,5619593216,526075441152,0.845,0.876,98.279,0,0,5760,0,5760,0,151304,151304,19200,15464
Nov-04 03:45:11,9720770560,524439904256,5660364800,526042587136,0.858,0.827,98.113,0.203,0,446880,46080,5280,0,493440,493440,455040,46080
Nov-04 03:45:12,9690263552,524469223424,5661122560,526073651200,1.463,0.236,98.301,0,0,277824,30720,9600,0,418976,418976,291600,31328
