"dool 1.3.0 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","x3001c0s7b0n0",,,,"User:","yuke"
"Cmdline:","/home/yuke/bin/dool --time --mem --cpu --net -N hsn0,hsn1,lo,total --output /home/yuke/lyd/tmp-file/logs/dool-gpt2large-worldsize20-mbs128-noderank4-gbs128-DP1-TP1-PP20.csv 1",,,,"Date:","04 Nov 2023 01:12:32 UTC"
"system","memory usage",,,,"total cpu usage",,,,,"net/hsn0",,"net/hsn1",,"net/lo",,"net/total",
"time","used","free","cach","avai","usr","sys","idl","wai","stl","net/hsn0:recv","net/hsn0:send","net/hsn1:recv","net/hsn1:send","net/lo:recv","net/lo:send","net/total:recv","net/total:send"
Nov-04 01:12:32,12401061888,493834969088,33327431680,525186822144,4.972,1.610,93.321,0.096,0,0,0,0,0,0,0,0,0
Nov-04 01:12:33,12443947008,493620232192,33498783744,525143945216,0.187,0.656,99.157,0,0,7200,3184,6720,0,0,0,23232,3664
Nov-04 01:12:34,12538855424,493464649728,33559195648,525048848384,0.845,0.594,98.561,0,0,14880,0,14880,0,0,0,40248,6536
Nov-04 01:12:35,12604739584,493398765568,33559195648,524982964224,0.953,0.344,98.703,0,0,15840,0,15840,0,151376,151376,34080,15400
Nov-04 01:12:36,12606492672,493397004288,33559199744,524981202944,0.564,0.391,99.045,0,0,12000,7200,14800,528,0,0,38368,7728
Nov-04 01:12:37,12828839936,493174611968,33559203840,524758831104,0.563,0.250,99.187,0,0,2400,0,92560,51120,0,0,109744,51120
Nov-04 01:12:38,13056847872,492946599936,33559207936,524530823168,1.543,0.218,98.239,0,0,6160,1872,3360,1872,0,0,17536,3744
Nov-04 01:12:39,13170872320,492832575488,33559207936,524416798720,1.128,0.580,98.292,0,0,4464,0,4464,0,0,0,26448,600
Nov-04 01:12:40,13265842176,492737605632,33559207936,524321828864,1.112,0.627,98.261,0,0,6384,0,9872,3568,151376,151376,26384,18968
Nov-04 01:12:41,13343764480,492659679232,33559212032,524243906560,1.081,0.595,98.324,0,0,5424,0,5424,0,0,0,29184,0
Nov-04 01:12:42,13422215168,492581257216,33559207936,524165476352,1.345,0.329,98.326,0,0,5424,0,5424,0,0,0,33936,24392
Nov-04 01:12:43,13478903808,492524572672,33559203840,524108791808,1.453,0.219,98.328,0,0,4320,0,4320,0,0,0,23424,0
Nov-04 01:12:44,13672755200,492330311680,33559580672,523914907648,0.798,0.845,98.356,0,0,7200,31008,5280,0,0,0,41424,31608
Nov-04 01:12:45,13934305280,492068761600,33559580672,523653357568,1.047,0.969,97.984,0,0,4800,0,544176,987488,151512,151512,568848,1023344
Nov-04 01:12:46,15441854464,490519056384,33601589248,522103734272,1.141,0.875,97.984,0,0,6240,0,6240,960,0,0,63744,123728
Nov-04 01:12:47,16754917376,489205993472,33601589248,520790929408,1.275,0.404,98.320,0,0,6240,0,6240,0,0,0,38208,336
Nov-04 01:12:48,17803956224,488156954624,33601589248,519741632512,1.160,0.439,98.401,0,0,5760,0,7680,5408,0,0,20976,5408
Nov-04 01:12:49,18511958016,487448944640,33601597440,519033630720,0.748,0.218,99.033,0,0,5280,0,15392,12224,0,0,38672,12824
Nov-04 01:12:50,18281381888,487671095296,33609990144,519255797760,1.296,0.375,98.329,0,0,34096,11280,28560,21840,205360,205360,81472,48584
Nov-04 01:12:51,18281074688,487671402496,33609990144,519256104960,1.140,0.515,98.345,0,0,22992,3840,19680,9472,76800,76800,55056,13312
Nov-04 01:12:52,18280808448,487671668736,33609990144,519256371200,1.047,0.594,98.360,0,0,25216,3840,15840,8896,70112,70112,55984,12736
Nov-04 01:12:53,18318860288,487633616896,33609990144,519218319360,0.890,0.687,98.422,0,0,9504,1440,6720,7520,51072,51072,33744,8960
Nov-04 01:12:54,18324877312,487627567104,33610022912,519212302336,1.078,0.562,98.359,0,0,61136,1920,6240,89472,264192,264192,77776,91992
Nov-04 01:12:55,18324893696,487623421952,33614151680,519208157184,1.073,0.591,98.335,0,0,104960,3840,9120,66112,462552,462552,125024,85416
Nov-04 01:12:56,18330857472,487613321216,33618362368,519198031872,1.004,0.690,98.306,0,0,14736,1968,16416,10144,128336,128336,37248,13216
Nov-04 01:12:57,18334343168,487542358016,33685463040,519127261184,0.890,0.719,98.391,0,0,37200,25872,14640,25584,1261792,1261792,63888,51456
