"dool 1.3.0 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","x3101c0s13b0n0",,,,"User:","yuke"
"Cmdline:","/home/yuke/bin/dool --time --mem --cpu --net -N hsn0,hsn1,lo,total --output /home/yuke/lyd/tmp-file/logs/dool-gpt2large-worldsize8-mbs8-noderank0-gbs8-DP1-TP8-PP1.csv 1",,,,"Date:","18 Dec 2023 06:45:32 UTC"
"system","memory usage",,,,"total cpu usage",,,,,"net/hsn0",,"net/hsn1",,"net/lo",,"net/total",
"time","used","free","cach","avai","usr","sys","idl","wai","stl","net/hsn0:recv","net/hsn0:send","net/hsn1:recv","net/hsn1:send","net/lo:recv","net/lo:send","net/total:recv","net/total:send"
Dec-18 06:45:32,5059375104,521410703360,12661080064,522288144384,9.083,2.189,88.657,0.071,0,0,0,0,0,0,0,0,0
Dec-18 06:45:33,5226065920,521243570176,12661182464,522121240576,1.045,0.624,98.330,0,0,893800,1079008,0,0,6800,6800,898600,1087352
Dec-18 06:45:34,5253644288,521215991808,12661182464,522093662208,0.670,1.013,98.317,0,0,1072592,1258912,0,0,0,0,1072592,1259520
Dec-18 06:45:35,5507817472,520961748992,12661186560,521839448064,1.059,0.669,98.272,0,0,969400,1157744,480,0,222832,222832,979072,1187616
Dec-18 06:45:36,5745143808,520724422656,12661186560,521602121728,1.365,0.330,98.305,0,0,131680,160304,0,0,0,0,134080,160304
Dec-18 06:45:37,5825429504,520644136960,12661186560,521521836032,1.093,0.640,98.267,0,0,207536,251712,0,0,0,0,210416,251712
Dec-18 06:45:38,5905842176,520564502528,12660408320,521441423360,0.906,0.781,98.314,0,0,230912,274624,0,0,0,0,232352,274624
Dec-18 06:45:39,5989355520,520480989184,12660408320,521357910016,1.078,0.562,98.360,0,0,224064,274464,0,0,0,0,234672,275504
Dec-18 06:45:40,6063263744,520407044096,12660412416,521283985408,1.297,0.469,98.234,0,0,5126888,5819512,0,0,150688,150688,5131064,5835528
