"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c197-072.frontera.tacc.utexas.edu",,,,"User:","tg879638"
"Cmdline:","/home1/08664/tg879638/bin/dool --time --mem --cpu --net -N ib0,lo,total --output /work2/08664/tg879638/frontera/lyd/tmp-file/logs/frontera/dool-bert-worldsize8-mbs8-noderank0-gbs8-DP1-TP1-PP8.csv 1",,,,"Date:","19 Dec 2023 17:54:13 CST"
"system","memory usage",,,,"total cpu usage",,,,,"net/ib0",,"net/lo",,"net/total",
"time","used","free","cach","avai","usr","sys","idl","wai","stl","net/ib0:recv","net/ib0:send","net/lo:recv","net/lo:send","net/total:recv","net/total:send"
Dec-19 17:54:13,10722656256,122824646656,1169076224,122304491520,7.499,1.844,90.484,0.172,0,0,0,0,0,0,0
Dec-19 17:54:14,10750144512,122720837632,1245396992,122238803968,0.219,1.630,98.088,0.063,0,0,0,0,0,960,336
Dec-19 17:54:15,10758942720,122679119872,1278349312,122213003264,0.597,2.575,96.829,0,0,0,0,0,0,960,0
Dec-19 17:54:16,10804129792,122614546432,1297735680,122158514176,1.412,1.945,96.643,0,0,448,0,0,0,928,0
Dec-19 17:54:17,10826792960,122553671680,1335947264,122117144576,0.220,1.694,98.086,0,0,0,0,0,0,1440,0
Dec-19 17:54:18,10855034880,122508558336,1352818688,122080071680,1.067,2.291,96.642,0,0,0,0,0,0,480,0
Dec-19 17:54:19,10893869056,122461474816,1361068032,122037080064,1.378,2.098,96.525,0,0,0,0,0,0,0,0
Dec-19 17:54:20,10902659072,122441240576,1372577792,122023223296,1.067,1.412,97.520,0,0,0,0,0,0,480,0
Dec-19 17:54:21,10923737088,122416611328,1376129024,122000101376,2.281,1.812,95.906,0,0,928,832,0,0,6800,1360
Dec-19 17:54:22,11281108992,122058452992,1376948224,121641984000,4.440,2.283,93.277,0,0,19760,13872,219656,219656,19760,13872
Dec-19 17:54:23,11568914432,121770614784,1376980992,121354702848,8.830,3.775,87.395,0,0,0,0,0,0,480,0
Dec-19 17:54:24,11739832320,121599696896,1376980992,121183793152,8.409,5.189,86.402,0,0,0,0,0,0,0,0
Dec-19 17:54:25,11954683904,121379274752,1382551552,120966283264,7.815,4.033,87.871,0.281,0,0,0,0,0,0,0
Dec-19 17:54:26,12024365056,121296596992,1395548160,120888459264,4.015,3.294,90.213,2.478,0,325296,183168,488160,488160,325776,183168
Dec-19 17:54:27,12345733120,120909840384,1460969472,120520192000,1.414,4.681,93.685,0.220,0,58760,28000,90848,90848,59240,28000
Dec-19 17:54:28,12326617088,120928038912,1462018048,120538808320,1.032,2.064,96.903,0,0,0,0,0,0,0,0
Dec-19 17:54:29,12862193664,120207585280,1646895104,119827324928,6.483,2.913,90.542,0.063,0,173920,174912,1206888,1206888,175360,174912
Dec-19 17:54:30,12890886144,119982321664,1843466240,119602487296,6.704,3.728,89.505,0.063,0,34816,36224,791248,791248,36464,36848
Dec-19 17:54:31,12915433472,119957766144,1843474432,119577931776,4.068,2.972,92.960,0,0,896,0,0,0,1376,0
Dec-19 17:54:32,12888371200,119984828416,1843474432,119604994048,4.308,3.028,92.663,0,0,0,0,0,0,0,0
Dec-19 17:54:33,12891049984,119982100480,1843523584,119602294784,5.666,4.826,89.508,0,0,0,0,0,0,960,0
Dec-19 17:54:34,12926660608,119946457088,1843523584,119566667776,7.567,5.754,86.679,0,0,0,0,0,0,0,0
Dec-19 17:54:35,13005135872,119855202304,1856303104,119477571584,8.029,2.812,86.973,2.187,0,0,0,0,0,624,688
Dec-19 17:54:36,13110464512,119706861568,1899315200,119348490240,7.772,2.194,86.775,3.259,0,0,0,0,0,0,0
Dec-19 17:54:37,13250203648,119219400704,2247020544,118861889536,11.205,3.756,84.382,0.657,0,254400,237384,1660840,1660840,254880,237384
Dec-19 17:54:38,14393577472,117638152192,2684928000,117284327424,39.856,8.059,51.521,0.564,0,57336,39968,1299520,1299520,58296,39968
Dec-19 17:54:39,14728482816,117221036032,2767138816,116878761984,22.740,5.197,71.559,0.504,0,0,0,62880,62880,960,0
Dec-19 17:54:40,14742990848,117202169856,2771496960,116860882944,13.141,0.876,85.982,0,0,14912,26528,366208,366208,30080,28640
Dec-19 17:54:41,14738087936,117207236608,2771496960,116865884160,12.629,0.281,87.090,0,0,0,0,0,0,0,0
Dec-19 17:54:42,14740312064,117205008384,2771501056,116863660032,12.829,0.814,86.358,0,0,2184,544,0,0,3624,544
Dec-19 17:54:43,14755749888,117189570560,2771501056,116848222208,12.766,0.720,86.514,0,0,2184,544,0,0,2184,544
Dec-19 17:54:44,14774767616,117163130880,2778923008,116823269376,12.285,0.406,87.309,0,0,21768,14944,337280,337280,21768,14944
Dec-19 17:54:45,14836387840,117097312256,2783121408,116759412736,11.135,1.095,87.739,0.031,0,0,0,12376,12376,1440,336
Dec-19 17:54:46,14912229376,117021552640,2783039488,116683849728,7.572,0.907,91.521,0,0,448,0,12376,12376,928,0
Dec-19 17:54:47,14959968256,116972310528,2784542720,116635111424,3.501,0.281,96.218,0,0,0,0,12376,12376,0,0
Dec-19 17:54:48,15067664384,116515704832,3133419520,116181667840,14.563,4.948,80.363,0.125,0,208888,209344,2013208,2013208,208888,209344
Dec-19 17:54:49,15085871104,116495466496,3135451136,116161818624,16.218,5.416,78.366,0,0,0,0,0,0,0,0
Dec-19 17:54:50,15070007296,116511801344,3134980096,116178169856,16.052,4.872,79.076,0,0,0,0,0,0,480,0
Dec-19 17:54:51,15091519488,116490088448,3135180800,116156469248,14.983,5.067,79.950,0,0,0,0,0,0,480,0
Dec-19 17:54:52,15145852928,116435574784,3135361024,116101967872,13.122,3.790,83.088,0,0,0,0,0,0,480,0
Dec-19 17:54:53,15168434176,116412469248,3135885312,116078862336,10.722,5.189,84.089,0,0,0,0,0,0,480,0
Dec-19 17:54:54,15142850560,116438323200,3135713280,116104667136,12.430,5.949,81.622,0,0,0,0,0,0,480,0
Dec-19 17:54:55,15147130880,116434042880,3135713280,116100395008,15.962,5.383,78.654,0,0,0,0,0,0,0,0
Dec-19 17:54:56,15199244288,116379701248,3137941504,116058025984,14.125,4.792,80.770,0.313,0,0,0,0,0,0,0
Dec-19 17:54:57,15191810048,116387074048,3138002944,116054732800,15.469,5.500,79.031,0,0,0,0,0,0,0,0
Dec-19 17:54:58,15193030656,116384989184,3138867200,116052660224,18.452,5.576,75.971,0,0,0,0,0,0,0,0
Dec-19 17:54:59,15205511168,116373008384,3138367488,116040687616,15.207,4.599,80.194,0,0,0,0,0,0,0,0
Dec-19 17:55:00,15191166976,116387328000,3138392064,116055023616,15.760,5.128,79.112,0,0,896,0,0,0,896,0
Dec-19 17:55:01,15201460224,116376993792,3138433024,116044701696,18.617,5.350,76.033,0,0,896,0,0,0,896,0
