name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
Quadro RTX 5000, 2023/12/19 18:53:47.052, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.95 W
Quadro RTX 5000, 2023/12/19 18:53:47.055, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.92 W
Quadro RTX 5000, 2023/12/19 18:53:47.057, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.85 W
Quadro RTX 5000, 2023/12/19 18:53:47.059, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.25 W
Quadro RTX 5000, 2023/12/19 18:53:48.061, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.98 W
Quadro RTX 5000, 2023/12/19 18:53:48.062, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.99 W
Quadro RTX 5000, 2023/12/19 18:53:48.064, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.84 W
Quadro RTX 5000, 2023/12/19 18:53:48.066, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.40 W
Quadro RTX 5000, 2023/12/19 18:53:49.067, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 8.00 W
Quadro RTX 5000, 2023/12/19 18:53:49.069, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.64 W
Quadro RTX 5000, 2023/12/19 18:53:49.071, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.86 W
Quadro RTX 5000, 2023/12/19 18:53:49.072, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.03 W
Quadro RTX 5000, 2023/12/19 18:53:50.074, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.86 W
Quadro RTX 5000, 2023/12/19 18:53:50.076, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.76 W
Quadro RTX 5000, 2023/12/19 18:53:50.078, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.60 W
Quadro RTX 5000, 2023/12/19 18:53:50.079, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 12.99 W
Quadro RTX 5000, 2023/12/19 18:53:51.081, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.92 W
Quadro RTX 5000, 2023/12/19 18:53:51.083, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.72 W
Quadro RTX 5000, 2023/12/19 18:53:51.085, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 7.02 W
Quadro RTX 5000, 2023/12/19 18:53:51.086, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.08 W
Quadro RTX 5000, 2023/12/19 18:53:52.088, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.89 W
Quadro RTX 5000, 2023/12/19 18:53:52.090, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.96 W
Quadro RTX 5000, 2023/12/19 18:53:52.091, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.79 W
Quadro RTX 5000, 2023/12/19 18:53:52.093, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.00 W
Quadro RTX 5000, 2023/12/19 18:53:53.095, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.80 W
Quadro RTX 5000, 2023/12/19 18:53:53.096, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.97 W
Quadro RTX 5000, 2023/12/19 18:53:53.098, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.86 W
Quadro RTX 5000, 2023/12/19 18:53:53.100, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.27 W
Quadro RTX 5000, 2023/12/19 18:53:54.102, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.80 W
Quadro RTX 5000, 2023/12/19 18:53:54.103, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.78 W
Quadro RTX 5000, 2023/12/19 18:53:54.105, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.83 W
Quadro RTX 5000, 2023/12/19 18:53:54.107, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.50 W
Quadro RTX 5000, 2023/12/19 18:53:55.108, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.89 W
Quadro RTX 5000, 2023/12/19 18:53:55.110, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.73 W
Quadro RTX 5000, 2023/12/19 18:53:55.112, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.74 W
Quadro RTX 5000, 2023/12/19 18:53:55.113, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.24 W
Quadro RTX 5000, 2023/12/19 18:53:56.115, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.90 W
Quadro RTX 5000, 2023/12/19 18:53:56.117, GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f, 0 %, 16384 MiB, 0 %, 5.93 W
Quadro RTX 5000, 2023/12/19 18:53:56.119, GPU-a1b245cd-418c-e668-f727-832c29d8c35e, 0 %, 16384 MiB, 0 %, 6.71 W
Quadro RTX 5000, 2023/12/19 18:53:56.120, GPU-c670953f-2c4d-e864-d621-a7e832aa6e89, 0 %, 16384 MiB, 0 %, 13.64 W
Quadro RTX 5000, 2023/12/19 18:53:57.122, GPU-352c6a6a-c453-870b-ed58-f85419f4ed96, 0 %, 16384 MiB, 0 %, 7.99 W
