01:01:55             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
hsn0
01:01:56             hsn0                rdma                13165.00            10977.00            10901.47            2140.16
01:01:56             hsn0                ipoib               361.00              5.00                22.50               .46
01:01:56             hsn0                all                 13165.00            10977.00            10901.47            2140.16 

hsn0
01:01:58             hsn0                rdma                6867.00             5727.00             5636.65             1112.91
01:01:58             hsn0                ipoib               293.00              0                   17.18               0
01:01:58             hsn0                all                 6867.00             5727.00             5636.65             1112.91 

hsn0
01:01:59             hsn0                rdma                2548.00             2113.00             2220.02             416.82
01:01:59             hsn0                ipoib               192.00              1.00                11.26               .05
01:01:59             hsn0                all                 2548.00             2113.00             2220.02             416.82 

hsn0
01:02:00             hsn0                rdma                4567.00             4296.00             3024.44             1563.11
01:02:00             hsn0                ipoib               426.00              1.00                24.97               .05
01:02:00             hsn0                all                 4567.00             4296.00             3024.44             1563.11 

hsn0
01:02:01             hsn0                rdma                1825.00             1803.00             823.68              727.15
01:02:01             hsn0                ipoib               470.00              18.00               29.49               1.08
01:02:01             hsn0                all                 1825.00             1803.00             823.68              727.15 

hsn0
01:02:04             hsn0                rdma                459.00              458.00              100.29              125.94
01:02:04             hsn0                ipoib               569.00              137.00              36.30               9.07
01:02:04             hsn0                all                 569.00              458.00              100.29              125.94 

hsn0
01:02:07             hsn0                rdma                10104.00            10103.00            2859.98             3036.17
01:02:07             hsn0                ipoib               553.00              1.00                32.40               .05
01:02:07             hsn0                all                 10104.00            10103.00            2859.98             3036.17 

hsn0
01:02:09             hsn0                rdma                7934.00             7744.00             3446.99             2674.12
01:02:09             hsn0                ipoib               278.00              8.00                23.39               .46
01:02:09             hsn0                all                 7934.00             7744.00             3446.99             2674.12 

hsn0
01:02:11             hsn0                rdma                214.00              209.00              97.88               72.69
01:02:11             hsn0                ipoib               6021.00             4877.00             511.76              290.57
01:02:11             hsn0                all                 6021.00             4877.00             511.76              290.57 

hsn0
01:02:13             hsn0                rdma                8717.00             518.00              34124.67            89.33
01:02:13             hsn0                ipoib               1230.00             840.00              100.37              50.03
01:02:13             hsn0                all                 8717.00             840.00              34124.67            89.33 

hsn0
01:02:18             hsn0                rdma                509.00              497.00              200.33              162.63
01:02:18             hsn0                ipoib               336.00              48.00               20.74               4.33
01:02:18             hsn0                all                 509.00              497.00              200.33              162.63 

hsn0
01:02:24             hsn0                rdma                13.00               2.00                3.66                .12
01:02:24             hsn0                ipoib               924.00              48.00               71.32               19.04
01:02:25             hsn0                all                 924.00              48.00               71.32               19.04 

hsn0
01:02:27             hsn0                rdma                3.00                2.00                .43                 .20
01:02:27             hsn0                ipoib               732.00              29.00               45.58               4.80
