03:54:11             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
hsn0
03:54:13             hsn0                rdma                2354.00             2354.00             567.89              668.40
03:54:13             hsn0                ipoib               33.00               0                   1.95                0
03:54:13             hsn0                all                 2354.00             2354.00             567.89              668.40 

hsn0
03:54:17             hsn0                rdma                447.00              447.00              98.48               125.16
03:54:17             hsn0                ipoib               32.00               0                   1.87                0
03:54:17             hsn0                all                 447.00              447.00              98.48               125.16 

hsn0
03:54:21             hsn0                rdma                12401.00            12401.00            3681.18             3975.91
03:54:21             hsn0                ipoib               7.00                0                   .41                 0
03:54:21             hsn0                all                 12401.00            12401.00            3681.18             3975.91 

hsn0
03:54:23             hsn0                rdma                8147.00             8147.00             2508.72             2649.41
03:54:23             hsn0                ipoib               16.00               0                   .93                 0
03:54:23             hsn0                all                 8147.00             8147.00             2508.72             2649.41 

hsn0
03:54:26             hsn0                rdma                44.00               40.00               25.72               9.49
03:54:26             hsn0                ipoib               7.00                0                   .41                 0
03:54:26             hsn0                all                 44.00               40.00               25.72               9.49 

hsn0
03:54:32             hsn0                rdma                37.00               31.00               29.77               5.88
03:54:32             hsn0                ipoib               21.00               0                   1.23                0
03:54:32             hsn0                all                 37.00               31.00               29.77               5.88 

hsn0
03:54:39             hsn0                rdma                2.00                2.00                .16                 .16
03:54:39             hsn0                ipoib               40.00               17.00               21.19               1.00
03:54:39             hsn0                all                 40.00               17.00               21.19               1.00 

hsn0
03:54:42             hsn0                rdma                7.00                7.00                1.38                1.46
03:54:42             hsn0                ipoib               53.00               17.00               4.73                2.61
03:54:42             hsn0                all                 53.00               17.00               4.73                2.61 

hsn0
03:54:43             hsn0                rdma                97.00               90.00               48.83               21.81
03:54:43             hsn0                ipoib               13.00               1.00                .77                 .05
03:54:43             hsn0                all                 97.00               90.00               48.83               21.81 

hsn0
03:54:44             hsn0                rdma                58.00               54.00               32.08               13.18
03:54:44             hsn0                ipoib               12.00               0                   .70                 0
03:54:44             hsn0                all                 58.00               54.00               32.08               13.18 

hsn0
03:54:47             hsn0                rdma                647.00              635.00              191.06              171.34
03:54:47             hsn0                ipoib               33.00               0                   1.93                0
03:54:47             hsn0                all                 647.00              635.00              191.06              171.34 

hsn0
03:54:48             hsn0                rdma                230.00              230.00              56.72               69.26
03:54:48             hsn0                ipoib               16.00               0                   .93                 0
03:54:48             hsn0                all                 230.00              230.00              56.72               69.26 

hsn0
03:54:50             hsn0                rdma                12.00               12.00               2.54                2.67
03:54:50             hsn0                ipoib               5.00                0                   .29                 0
03:54:50             hsn0                all                 12.00               12.00               2.54                2.67 

hsn0
03:54:51             hsn0                rdma                1.00                1.00                .06                 .10
03:54:51             hsn0                ipoib               9.00                0                   .52                 0
03:54:51             hsn0                all                 9.00                1.00                .52                 .10 

hsn0
03:54:54             hsn0                rdma                53.00               54.00               11.00               11.87
03:54:54             hsn0                ipoib               20.00               0                   1.45                0
03:54:54             hsn0                all                 53.00               54.00               11.00               11.87 

hsn0
03:54:57             hsn0                rdma                60.00               54.00               38.73               17.88
03:54:57             hsn0                ipoib               18.00               5.00                1.05                .29
03:54:57             hsn0                all                 60.00               54.00               38.73               17.88 

hsn0
03:54:58             hsn0                rdma                39.00               39.00               12.38               11.83
03:54:58             hsn0                ipoib               10.00               0                   .58                 0
03:54:58             hsn0                all                 39.00               39.00               12.38               11.83 

hsn0
03:54:59             hsn0                rdma                3.00                3.00                .55                 .72
03:54:59             hsn0                ipoib               8.00                0                   .46                 0
03:54:59             hsn0                all                 8.00                3.00                .55                 .72 

hsn0
