23:45:29             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
hsn1
23:45:31             hsn1                rdma                7251.00             7248.00             2376.13             2497.65
23:45:31             hsn1                ipoib               334.00              0                   19.57               0
23:45:31             hsn1                all                 7251.00             7248.00             2376.13             2497.65 

hsn1
23:45:34             hsn1                rdma                1079.00             1010.00             598.55              345.71
23:45:34             hsn1                ipoib               331.00              1.00                19.39               .87
23:45:34             hsn1                all                 1079.00             1010.00             598.55              345.71 

hsn1
23:45:37             hsn1                rdma                18504.00            18502.00            6058.67             6400.00
23:45:37             hsn1                ipoib               542.00              0                   31.75               0
23:45:37             hsn1                all                 18504.00            18502.00            6058.67             6400.00 

hsn1
23:45:39             hsn1                rdma                7015.00             6451.00             4817.77             2115.85
23:45:39             hsn1                ipoib               324.00              0                   18.98               0
23:45:39             hsn1                all                 7015.00             6451.00             4817.77             2115.85 

hsn1
23:45:40             hsn1                rdma                15356.00            10849.00            22353.78            3270.43
23:45:40             hsn1                ipoib               292.00              4.00                17.10               3.78
23:45:40             hsn1                all                 15356.00            10849.00            22353.78            3270.43 

hsn1
23:45:43             hsn1                rdma                101.00              90.00               72.58               27.17
23:45:43             hsn1                ipoib               300.00              0                   17.57               0
23:45:43             hsn1                all                 300.00              90.00               72.58               27.17 

hsn1
23:45:47             hsn1                rdma                87.00               77.00               57.44               28.69
23:45:47             hsn1                ipoib               418.00              0                   24.49               0
23:45:48             hsn1                all                 418.00              77.00               57.44               28.69 

hsn1
23:45:54             hsn1                rdma                86.00               87.00               18.62               40.99
23:45:54             hsn1                ipoib               680.00              0                   39.84               0
23:45:54             hsn1                all                 680.00              87.00               39.84               40.99 

hsn1
23:45:58             hsn1                rdma                20.00               18.00               4.42                4.07
23:45:58             hsn1                ipoib               858.00              1.00                50.30               .23
23:45:58             hsn1                all                 858.00              18.00               50.30               4.07 

hsn1
23:45:59             hsn1                rdma                52.00               56.00               12.69               40.57
23:45:59             hsn1                ipoib               205.00              0                   12.02               0
23:45:59             hsn1                all                 205.00              56.00               12.69               40.57 

hsn1
23:46:01             hsn1                rdma                13.00               10.00               4.08                3.50
23:46:01             hsn1                ipoib               266.00              0                   15.58               0
23:46:01             hsn1                all                 266.00              10.00               15.58               3.50 

hsn1
23:46:02             hsn1                rdma                28.00               28.00               7.31                7.92
23:46:02             hsn1                ipoib               252.00              0                   14.76               0
23:46:02             hsn1                all                 252.00              28.00               14.76               7.92 

hsn1
23:46:03             hsn1                rdma                3321.00             2052.00             5928.46             668.53
23:46:03             hsn1                ipoib               212.00              0                   12.42               0
23:46:03             hsn1                all                 3321.00             2052.00             5928.46             668.53 

hsn1
23:46:04             hsn1                rdma                49.00               49.00               15.91               17.68
23:46:04             hsn1                ipoib               160.00              0                   9.37                0
23:46:04             hsn1                all                 160.00              49.00               15.91               17.68 

hsn1
23:46:07             hsn1                rdma                5287.00             1822.00             14959.37            623.04
23:46:07             hsn1                ipoib               272.00              0                   15.93               0
23:46:07             hsn1                all                 5287.00             1822.00             14959.37            623.04 

hsn1
23:46:09             hsn1                rdma                35.00               25.00               15.29               4.95
23:46:09             hsn1                ipoib               358.00              0                   20.97               0
23:46:09             hsn1                all                 358.00              25.00               20.97               4.95 

hsn1
23:46:14             hsn1                rdma                144.00              122.00              129.95              52.86
23:46:14             hsn1                ipoib               404.00              0                   23.67               0
23:46:15             hsn1                all                 404.00              122.00              129.95              52.86 

hsn1
23:46:21             hsn1                rdma                2.00                0                   .62                 0
23:46:21             hsn1                ipoib               760.00              0                   44.53               0
23:46:21             hsn1                all                 760.00              0                   44.53               0 

hsn1
23:46:33             hsn1                rdma                291.00              211.00              388.26              53.98
23:46:33             hsn1                ipoib               644.00              4.00                37.73               3.50
23:46:33             hsn1                all                 644.00              211.00              388.26              53.98 

hsn1
23:46:36             hsn1                rdma                77935.00            4058.00             306977.43           464.64
23:46:36             hsn1                ipoib               202.00              0                   11.83               0
23:46:36             hsn1                all                 77935.00            4058.00             306977.43           464.64 

hsn1
23:46:39             hsn1                rdma                74.00               72.00               20.51               16.77
23:46:39             hsn1                ipoib               322.00              0                   18.86               0
23:46:39             hsn1                all                 322.00              72.00               20.51               16.77 

hsn1
23:46:40             hsn1                rdma                271822.00           270861.00           1063178.93          1058913.35
23:46:40             hsn1                ipoib               284.00              0                   16.64               0
23:46:40             hsn1                all                 271822.00           270861.00           1063178.93          1058913.35 

hsn1
23:46:41             hsn1                rdma                51469.00            50238.00            200126.85           194955.16
23:46:41             hsn1                ipoib               298.00              0                   17.46               0
23:46:41             hsn1                all                 51469.00            50238.00            200126.85           194955.16 

hsn1
23:46:43             hsn1                rdma                141190.00           138241.00           552432.55           540123.22
23:46:43             hsn1                ipoib               310.00              0                   18.16               0
23:46:43             hsn1                all                 141190.00           138241.00           552432.55           540123.22 

hsn1
23:46:44             hsn1                rdma                130756.00           127833.00           510729.39           498238.63
23:46:44             hsn1                ipoib               244.00              0                   14.29               0
23:46:44             hsn1                all                 130756.00           127833.00           510729.39           498238.63 

hsn1
23:46:45             hsn1                rdma                249242.00           252306.00           974586.88           987083.82
23:46:45             hsn1                ipoib               354.00              0                   20.74               0
23:46:45             hsn1                all                 249242.00           252306.00           974586.88           987083.82 

hsn1
23:46:47             hsn1                rdma                112809.00           104205.00           440892.88           405204.22
23:46:47             hsn1                ipoib               338.00              0                   19.80               0
23:46:47             hsn1                all                 112809.00           104205.00           440892.88           405204.22 

hsn1
23:46:48             hsn1                rdma                161324.00           161333.00           629566.45           629566.88
23:46:48             hsn1                ipoib               272.00              0                   15.93               0
23:46:49             hsn1                all                 161324.00           161333.00           629566.45           629566.88 

hsn1
23:46:50             hsn1                rdma                224788.00           219217.00           879720.10           856815.53
23:46:50             hsn1                ipoib               328.00              0                   19.21               0
23:46:50             hsn1                all                 224788.00           219217.00           879720.10           856815.53 

hsn1
23:46:51             hsn1                rdma                89543.00            86931.00            349172.90           338274.64
23:46:51             hsn1                ipoib               298.00              0                   17.46               0
23:46:51             hsn1                all                 89543.00            86931.00            349172.90           338274.64 

hsn1
23:46:53             hsn1                rdma                230433.00           228500.00           901611.66           893287.39
23:46:53             hsn1                ipoib               246.00              0                   14.41               0
23:46:53             hsn1                all                 230433.00           228500.00           901611.66           893287.39 

hsn1
23:46:55             hsn1                rdma                108610.00           110850.00           423189.04           432417.07
23:46:55             hsn1                ipoib               214.00              0                   12.53               0
23:46:55             hsn1                all                 108610.00           110850.00           423189.04           432417.07 

hsn1
23:46:56             hsn1                rdma                119844.00           114090.00           467989.96           444045.66
23:46:56             hsn1                ipoib               343.00              1.00                20.11               .23
23:46:56             hsn1                all                 119844.00           114090.00           467989.96           444045.66 

hsn1
23:46:57             hsn1                rdma                250531.00           254194.00           978768.64           994178.83
23:46:57             hsn1                ipoib               321.00              0                   18.82               0
23:46:57             hsn1                all                 250531.00           254194.00           978768.64           994178.83 

hsn1
23:46:59             hsn1                rdma                116426.00           117431.00           454298.20           458598.74
23:46:59             hsn1                ipoib               217.00              0                   12.73               0
23:46:59             hsn1                all                 116426.00           117431.00           454298.20           458598.74 

hsn1
23:47:02             hsn1                rdma                172944.00           177100.00           675451.27           692770.36
23:47:02             hsn1                ipoib               354.00              0                   20.74               0
23:47:02             hsn1                all                 172944.00           177100.00           675451.27           692770.36 

hsn1
23:47:03             hsn1                rdma                11623.00            12690.00            44344.08            48747.76
23:47:03             hsn1                ipoib               270.00              0                   15.82               0
23:47:03             hsn1                all                 11623.00            12690.00            44344.08            48747.76 

hsn1
23:47:05             hsn1                rdma                225940.00           229949.00           882872.66           899530.11
23:47:05             hsn1                ipoib               238.00              0                   13.94               0
23:47:05             hsn1                all                 225940.00           229949.00           882872.66           899530.11 

hsn1
23:47:07             hsn1                rdma                146923.00           141685.00           575353.57           553492.54
23:47:07             hsn1                ipoib               254.00              0                   14.88               0
23:47:07             hsn1                all                 146923.00           141685.00           575353.57           553492.54 

hsn1
23:47:08             hsn1                rdma                208610.00           211855.00           814066.94           827600.29
23:47:08             hsn1                ipoib               210.00              0                   12.30               0
23:47:08             hsn1                all                 208610.00           211855.00           814066.94           827600.29 

hsn1
23:47:09             hsn1                rdma                258510.00           257265.00           1011292.33          1005931.80
23:47:09             hsn1                ipoib               178.00              0                   10.42               0
23:47:09             hsn1                all                 258510.00           257265.00           1011292.33          1005931.80 

hsn1
23:47:11             hsn1                rdma                81076.00            77451.00            316150.30           301409.94
