13:37:14             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
hsn1
13:37:16             hsn1                rdma                61211.00            16306.00            189679.46           3239.06
13:37:16             hsn1                ipoib               19.00               4.00                2.43                .23
13:37:16             hsn1                all                 61211.00            16306.00            189679.46           3239.06 

hsn1
13:37:18             hsn1                rdma                137235.00           13032.00            517788.56           2019.73
13:37:18             hsn1                ipoib               11.00               0                   .64                 0
13:37:18             hsn1                all                 137235.00           13032.00            517788.56           2019.73 

hsn1
13:37:19             hsn1                rdma                53762.00            11428.00            179060.73           2624.69
13:37:19             hsn1                ipoib               5.00                0                   .29                 0
13:37:19             hsn1                all                 53762.00            11428.00            179060.73           2624.69 

hsn1
13:37:21             hsn1                rdma                13295.00            10925.00            14279.75            3416.79
13:37:21             hsn1                ipoib               11.00               0                   .64                 0
13:37:21             hsn1                all                 13295.00            10925.00            14279.75            3416.79 

hsn1
13:37:23             hsn1                rdma                7745.00             6521.00             7616.26             2037.97
13:37:23             hsn1                ipoib               56.00               19.00               10.50               1.41
13:37:23             hsn1                all                 7745.00             6521.00             7616.26             2037.97 
