name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:11.836, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.90 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:11.839, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:11.842, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:11.847, GPU-567ac78b-5f0f-fb58-d07b-044ecf99c7e6, 0 %, 40536 MiB, 0 %, 52.34 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:12.850, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.84 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:12.853, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:12.856, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:12.859, GPU-567ac78b-5f0f-fb58-d07b-044ecf99c7e6, 0 %, 40536 MiB, 0 %, 52.34 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:13.861, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.84 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:13.864, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:13.869, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:13.871, GPU-567ac78b-5f0f-fb58-d07b-044ecf99c7e6, 0 %, 40536 MiB, 0 %, 52.34 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:14.874, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.84 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:14.877, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:14.879, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:14.882, GPU-567ac78b-5f0f-fb58-d07b-044ecf99c7e6, 0 %, 40536 MiB, 0 %, 52.34 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:15.889, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.84 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:15.894, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:15.897, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:15.900, GPU-567ac78b-5f0f-fb58-d07b-044ecf99c7e6, 0 %, 40536 MiB, 0 %, 52.34 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:16.938, GPU-e7b103be-3a90-f261-f532-a722facffedc, 0 %, 40536 MiB, 0 %, 56.84 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:16.941, GPU-3fc7c8a3-bdb4-a929-d321-3c600bc9fe88, 0 %, 40536 MiB, 0 %, 54.89 W
NVIDIA A100-SXM4-40GB, 2023/11/04 03:54:16.943, GPU-6ee328b8-9ab9-d038-0455-5e43f4d4f862, 0 %, 40536 MiB, 0 %, 54.03 W
