name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:29.636, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.15 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:29.639, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.61 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:29.643, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.27 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:29.646, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.50 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:30.652, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.15 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:30.655, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.82 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:30.660, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.17 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:30.662, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.45 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:31.669, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.15 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:31.672, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:31.674, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.17 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:31.677, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.50 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:32.680, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 52.88 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:32.682, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:32.687, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.17 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:32.690, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.56 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:33.693, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.21 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:33.695, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:33.698, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.17 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:33.701, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.45 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:34.706, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 52.83 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:34.709, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:34.712, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.17 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:34.715, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.45 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:35.717, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 52.83 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:35.720, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:35.723, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.22 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:35.725, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.45 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:36.730, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 52.88 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:36.732, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.61 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:36.735, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.27 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:36.738, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.45 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:37.740, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.10 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:37.744, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.61 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:37.748, GPU-d3fd3385-af95-6d3e-46e7-bb1212f774f5, 0 %, 40536 MiB, 0 %, 50.22 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:37.750, GPU-c0584cc4-a573-e98c-0a45-edf2004eebe5, 0 %, 40536 MiB, 0 %, 52.56 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:38.755, GPU-5b685919-e0d1-bb64-0d72-c699f19a936d, 0 %, 40536 MiB, 0 %, 53.15 W
NVIDIA A100-SXM4-40GB, 2023/10/31 23:45:38.758, GPU-4a41823f-aecb-70ad-8818-c07fbb1ec10d, 0 %, 40536 MiB, 0 %, 58.55 W
